Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult,PendingExpiryMinutes,UseHTFFilter,HTF_EMA_Period,EntryOffsetPips
56,XAUUSD,55,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
57,XAUUSD,55,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
58,XAUUSD,55,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
59,XAUUSD,55,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
60,XAUUSD,55,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
61,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
62,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.1
63,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
64,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.3
65,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.4
