PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR,Comment
654,EURUSD,60,6,3,3,0,2,0,0.3,1,8,2,1,2,1.2,2,0.6,60,1,2,0.75,5,1,5,0.5,
655,EURUSD,70,8,4,1.5,1,2.5,1,0.4,2,10,2,0,2,1.5,2.5,0.8,40,0,2,0.5,4,1,5,0.5,
656,EURUSD,40,7,3,2,0,2,0,0.5,1,12,2,1,2.5,1.2,3,0.6,50,1,2,0.75,4,1,5,0.5,
657,EURUSD,50,6,4,2.5,1,2.5,1,0.3,2,6,1,0,1.5,1.5,3,1,60,0,2,0.5,3,1,5,0.5,
658,EURUSD,60,8,3,3,0,2,0,0.3,1,8,1,1,2,1.2,2,0.8,40,1,2,0.75,3,1,5,0.5,
659,EURUSD,70,7,4,1.5,1,2.5,1,0.4,2,10,1,0,2.5,1.5,2.5,1,50,0,2,0.5,5,1,5,0.5,
660,EURUSD,40,6,3,2,0,2,0,0.5,1,12,1.5,1,1.5,1.2,3,0.8,60,1,1,0.75,5,1,5,0.5,
661,EURUSD,50,8,4,2.5,1,2.5,1,0.5,2,6,1.5,0,2,1.5,2,0.6,40,0,1,0.5,4,1,5,0.5,
662,EURUSD,60,7,3,3,0,2,0,0.3,1,8,1.5,1,2.5,1.2,2.5,0.8,50,1,1,0.75,4,1,5,0.5,
663,EURUSD,70,6,4,1.5,1,2.5,1,0.4,2,10,2,0,1.5,1,3,0.6,60,0,1,0.5,3,1,5,0.5,
664,EURUSD,40,6,3,2,0,2,0,0.4,1,12,2,1,2,1.2,2,1,40,1,1,0.75,3,1,5,0.5,
665,EURUSD,50,8,4,2.5,1,3,1,0.5,2,6,1,0,2,1,2.5,0.6,50,0,1,0.5,5,1,5,0.5,
666,EURUSD,60,7,3,3,0,2,0,0.3,1,8,1,1,2.5,1.2,3,1,60,1,1,0.75,4,1,5,0.5,
667,EURUSD,70,6,4,1.5,1,3,1,0.3,2,10,1,0,1.5,1,3,0.8,40,0,1,0.5,4,1,5,0.5,
668,EURUSD,40,8,3,2,0,2,0,0.4,1,12,1.5,1,2,1.2,2,0.6,50,1,1,0.75,3,1,5,0.5,
669,EURUSD,50,7,4,2.5,1,3,1,0.5,2,6,1.5,0,2.5,1,2.5,0.8,60,0,1,0.5,3,1,5,0.5,
670,EURUSD,60,6,3,3,0,2,0,0.3,1,8,1.5,1,1.5,1.2,3,0.6,40,1,1,0.75,5,1,5,0.5,
671,EURUSD,70,8,4,1.5,1,3,1,0.3,2,10,2,0,2,1,2,1,50,0,1,0.5,5,1,5,0.5,
672,EURUSD,40,7,3,2,0,2,0,0.4,1,12,2,1,2.5,1.2,2.5,0.6,60,1,1,0.75,4,1,5,0.5,
673,EURUSD,50,6,4,2.5,1,3,1,0.5,2,6,2,0,1.5,1,3,1,40,0,0,0.5,4,1,5,0.5,
674,EURUSD,60,8,3,3,0,2,0,0.5,1,8,1,1,2,1.2,2,0.8,50,1,0,0.75,3,1,5,0.5,
675,EURUSD,70,8,4,1.5,1,3,1,0.3,2,10,1,0,2,1,2.5,1,60,0,0,0.5,3,1,5,0.5,
676,EURUSD,40,7,3,2,0,2,0,0.4,1,12,1,1,2.5,1.2,3,0.8,40,1,0,0.75,5,1,5,0.5,
677,EURUSD,50,6,4,2.5,1,3,1,0.4,2,6,1.5,0,1.5,1,3,0.6,50,0,0,0.5,5,1,5,0.5,
678,EURUSD,60,8,3,3,0,2,0,0.5,1,8,1.5,1,2,1.2,2,1,60,1,0,0.75,4,1,5,0.5,
679,EURUSD,70,7,4,1.5,1,3,1,0.3,2,10,1.5,0,2.5,1,2.5,0.6,40,0,0,0.5,3,1,5,0.5,
680,EURUSD,40,6,3,2,0,2,0,0.3,1,12,2,1,1.5,1.2,3,1,50,1,0,0.75,3,1,5,0.5,
681,EURUSD,50,8,4,2.5,1,3,1,0.4,2,6,2,0,2,1,2,0.8,60,0,0,0.5,5,1,5,0.5,
682,EURUSD,60,7,3,3,0,2,0,0.5,1,8,2,1,2.5,1.2,2.5,1,60,1,0,0.75,5,1,5,0.5,
683,EURUSD,70,6,4,1.5,1,3,1,0.3,2,10,1,0,1.5,1,3,0.8,40,0,0,0.5,4,1,5,0.5,
684,EURUSD,40,8,3,2,0,2,0,0.3,1,12,1,1,1.5,1.2,2,0.6,50,1,0,0.75,4,1,5,0.5,
685,EURUSD,50,8,4,2.5,1,3,1,0.4,2,6,1.5,0,2,1,2.5,1,60,0,0,0.5,3,1,5,0.5,
686,EURUSD,60,7,3,3,0,2,0,0.5,1,8,1.5,1,2.5,1.2,3,0.6,40,1,2,0.75,3,1,5,0.5,
